,lat,lon,timestamp,amenity,name,brand:wikidata,official_name,addr:housenumber,brand:wikipedia,opening_hours,cuisine,addr:street,takeaway,brand,operator,website,fuel:octane_91,fuel:octane_89,fuel:diesel,fuel:octane_87,phone,addr:postcode,addr:city,access,toilets:wheelchair,wheelchair,name:en,level,indoor,healthcare,description,source,fuel:octane_94,covered,self_service,addr:unit,name:zh,internet_access,drive_through,surveillance,atm,fee,wikidata,alt_name,shop,outdoor_seating,email,capacity,ref,collection_times,building,leisure,entrance,note,fuel:gasoline,bicycle_parking,alt,smoking,brand:en,brand:zh,url,addr:province,old_name,dispensing,layer,internet_access:fee,name:fr,short_name,payment:credit_cards,payment:debit_cards,delivery,microbrewery,air_conditioning,bar,diet:vegetarian,addr:country,reservation,wikipedia,building:levels,drive_in,surrey:addrid,surrey:date,socket:type1,drink,designation,wifi,source:location,brand:fr,official_name:en,official_name:fr,shop:computer,shop:photo,shop:electronics,source:name,name:vi,alt_name:en,alt_name:vi,membership,source:position,operator:wikidata,operator:wikipedia,website:fr,int_name,seating,phone:CA,authentication,socket:tesla_supercharger:output,source:addr
9327,49.1625226,-122.8888312,2019-09-13T13:57:04.000-07:00,cafe,Starbucks,Q37158,Starbucks Coffee,12025,en:Starbucks,,coffee_shop,Nordel Way,yes,Starbucks,,,,,,,,,Surrey,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9328,49.1626386,-122.8899053,2019-09-13T13:57:04.000-07:00,bank,CIBC,Q666694,,12025,en:Canadian Imperial Bank of Commerce,,,Nordel Way,,CIBC,,,,,,,,,Surrey,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9340,49.2599354,-123.114726,2019-09-17T05:46:57.000-07:00,cafe,Sharetea,Q64827032,,2828,,,bubble_tea,Cambie Street,yes,Sharetea,,,,,,,,,Vancouver,,,,Sharetea,,,,,,,,,,歇腳亭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9342,49.2658085,-123.1223088,2019-09-13T13:57:04.000-07:00,cafe,Tim Hortons,Q175106,,818,en:Tim Hortons,,coffee_shop,West 6th Avenue,yes,Tim Hortons,,,,,,,,,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9347,49.2631541,-123.1194644,2019-09-13T13:57:04.000-07:00,cafe,Starbucks,Q37158,Starbucks Coffee,682,en:Starbucks,,coffee_shop,West Broadway,yes,Starbucks,,,,,,,,,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9348,49.2634282,-123.1170237,2019-09-13T13:57:04.000-07:00,restaurant,Freshii,Q5503051,,561,en:Freshii,,salad,West Broadway,,Freshii,,,,,,,,,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9349,49.2630784,-123.116235,2019-09-13T13:57:04.000-07:00,bank,CIBC,Q666694,,538,en:Canadian Imperial Bank of Commerce,,,West Broadway,,CIBC,,,,,,,,,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9354,49.255493799999996,-123.1016544,2019-10-29T21:16:32.000-07:00,pharmacy,Shoppers Drug Mart,Q1820137,,3303,en:Shoppers Drug Mart,,,Main Street,,Shoppers Drug Mart,,,,,,,,,Vancouver,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9356,49.254874,-123.1015928,2019-10-29T21:16:32.000-07:00,bank,TD Canada Trust,Q1080670,,3373,en:TD Canada Trust,,,Main Street,,TD Canada Trust,,,,,,,,,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9357,49.2544914,-123.1012783,2019-10-29T21:16:32.000-07:00,restaurant,Pizza Hut,Q191615,,3425,en:Pizza Hut,,pizza,Main Street,,Pizza Hut,,,,,,,,,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9358,49.2541445,-123.1012783,2019-10-29T21:16:32.000-07:00,fast_food,Church's Chicken,Q1089932,,3449,en:Church's Chicken,Mo-Su 00:00-24:00,chicken,Main Street,yes,Church's Chicken,,,,,,,,,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9367,49.2015761,-122.912837,2019-09-13T13:57:04.000-07:00,cafe,Tim Hortons,Q175106,,888,en:Tim Hortons,,coffee_shop,Carnarvon Street,yes,Tim Hortons,,,,,,,,V3M 0C6,New Westminster,,,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9419,49.1182418,-122.8461917,2019-09-23T20:08:02.000-07:00,fast_food,McDonald's,Q38076,,6333,en:McDonald's,Mo-Su 05:00-24:00,burger,King George Boulevard,yes,McDonald's,,,,,,,+1-604-501-8925,V3X 1G1,Surrey,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9442,49.2862497,-123.1190687,2020-06-11T20:34:04.000-07:00,bank,National Bank,Q634298,National Bank of Canada,555,en:National Bank of Canada,Mo-Fr 09:00-16:00,,Burrard Street,,National Bank,,,,,,,+1-604-661-5500,V7X 1M7,Vancouver,,,,National Bank,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,National Bank,,,,,,,,Banque Nationale,,,,,,,,,,,,,,,,,,,,,Banque Nationale,National Bank of Canada,Banque Nationale du Canada,,,,,,,,,,,,,,,,,,
9443,49.0413071,-122.7798479,2019-10-27T19:43:04.000-07:00,bank,National Bank,Q634298,National Bank of Canada,2121,en:National Bank of Canada,Mo-Fr 09:30-16:00,,160 Street,,National Bank,,,,,,,+1-778-292-5669,V3Z 9N6,Surrey,,,,National Bank,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,Banque Nationale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9448,49.1723625,-123.1371987,2020-03-17T17:01:56.000-07:00,bank,National Bank,Q634298,National Bank of Canada,5811,en:National Bank of Canada,Mo-We 09:30-16:00; Th-Fr 09:30-17:00,,Number 3 Road,,National Bank,,,,,,,+1-604-821-1899,V6X 4L7,Richmond,,,,National Bank,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,National Bank,,,,,,,,Banque Nationale,,,,,,,,,,,,,,,,,,,,,Banque Nationale,National Bank of Canada,Banque Nationale du Canada,,,,,,,,,,,,,,,,,,
9457,49.160697,-122.667293,2019-08-24T15:24:21.000-07:00,fast_food,Subway,Q244457,,,en:Subway (restaurant),,sandwich,,yes,Subway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9458,49.1624742,-122.6564355,2019-09-23T20:13:22.000-07:00,fast_food,A&W,Q2818848,,,en:A&W (Canada),,burger,,yes,A&W,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9484,49.2048501,-123.1291174,2019-08-11T00:05:00.000-07:00,car_rental,Enterprise,Q17085454,Enterprise Rent-A-Car,,en:Enterprise Rent-A-Car,,,,,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9488,49.2487273,-123.1252465,2019-11-08T21:37:11.000-08:00,bank,TD Canada Trust,Q1080670,,900,en:TD Canada Trust,"Mo-We 09:00-18:00; Th,Fr 09:00-20:00; Sa 09:00-16:00",,West King Edward Avenue,,TD Canada Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9494,49.2873965,-123.1143665,2019-12-24T20:04:16.000-08:00,fast_food,McDonald's,Q38076,,,en:McDonald's,,burger,,yes,McDonald's,,,,,,,,,Vancouver,,,,,,,,,survey,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extrapolation,,,,,,,receipt,,,,,,,,,,,,,,
9495,49.1950338,-123.1772197,2019-09-14T05:00:22.000-07:00,cafe,Starbucks,Q37158,Starbucks Coffee,,en:Starbucks,,coffee_shop,,yes,Starbucks,,,,,,,,,,,,,,1,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extrapolation,,,,,,,,,,,,,,,,,,,,,
9496,49.284463099999996,-123.1134341,2019-08-29T17:30:29.000-07:00,cafe,Starbucks,Q37158,Starbucks Coffee,433,en:Starbucks,,coffee_shop,Seymour Street,yes,Starbucks,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extrapolation,,,,,,,,,,,,,,,,,,,,,
9497,49.2890568,-123.1146229,2019-08-29T17:32:53.000-07:00,fast_food,Subway,Q244457,,,en:Subway (restaurant),,sandwich,,yes,Subway,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extrapolation,,,,,,,,,,,,,,,,,,,,,
9498,49.2850471,-123.1120652,2019-08-29T17:30:29.000-07:00,cafe,Tim Hortons,Q175106,,,en:Tim Hortons,,coffee_shop,,yes,Tim Hortons,Restaurant Brands International Inc.,https://www.timhortons.com/,,,,,,,,,,,,,,,,survey,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gps,,,,,,,,,,,,,,,,,,,,,
9541,49.287236,-123.141423,2019-08-29T18:01:23.000-07:00,cafe,Starbucks,Q37158,Starbucks Coffee,,en:Starbucks,,coffee_shop,,yes,Starbucks,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9552,49.2792354,-123.1227256,2019-08-29T17:51:24.000-07:00,cafe,Tim Hortons,Q175106,,998,en:Tim Hortons,Mo-Su 05:00-00:00,coffee_shop,Granville Street,yes,Tim Hortons,Restaurant Brands International Inc.,https://www.timhortons.ca/,,,,,,,Vancouver,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9557,49.257986700000004,-123.0449264,2019-09-23T20:24:27.000-07:00,fast_food,Subway,Q244457,,,en:Subway (restaurant),,sandwich,,yes,Subway,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9559,49.257899,-123.0438067,2019-09-23T20:24:27.000-07:00,fuel,Chevron,Q319642,,2902,en:Chevron Corporation,,,Grandview Highway,,Chevron,,,,,,,,,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9562,49.119491,-122.6652549,2019-06-07T13:28:04.000-07:00,fast_food,Pita Pit,Q7757289,,,en:Pita Pit,,pita,,yes,Pita Pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9566,49.2656908,-123.0038687,2020-02-21T01:53:10.000-08:00,cafe,Starbucks,Q37158,Starbucks Coffee,,en:Starbucks,,coffee_shop,,yes,Starbucks,,,,,,,,,Burnaby,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,,,,,,BC,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9586,49.1550573,-123.1257937,2019-12-01T06:53:50.000-08:00,pharmacy,Pharmasave,Q17093822,,,en:Pharmasave,,,,,Pharmasave,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9606,49.3264332,-123.1392875,2020-05-29T00:40:33.000-07:00,restaurant,White Spot,Q7995414,,,en:White Spot,,burger,,,White Spot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9610,49.0677039,-122.5353716,2020-02-22T20:51:29.000-08:00,post_office,Otter Co-op,Q1032001,,3650,en:Canada Post,,,248 Street,,Canada Post,Canada Post,,,,,,,V4W 1Y0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9615,49.0772132,-122.6700029,2019-09-23T20:15:08.000-07:00,bank,Coast Capital Savings,Q5138088,Coast Capital Savings Federal Credit Union,4145,en:Coast Capital Savings,,,200 Street,,Coast Capital Savings,Coast Capital Savings,,,,,,,V3A 1K8,Langley,,,,,,,,,,,,,,,,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9616,49.0762012,-122.6689193,2019-09-23T20:15:08.000-07:00,cafe,Starbucks,Q37158,Starbucks Coffee,4064,en:Starbucks,Mo-Fr 05:00-21:00; Sa-Su 06:00-21:00,coffee_shop,200 Street,yes,Starbucks,,https://www.starbucks.ca/,,,,,+1-604-532-1260,,,,,,Starbucks,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9617,49.0758884,-122.6698849,2019-09-23T20:15:08.000-07:00,fast_food,Subway,Q244457,,,en:Subway (restaurant),,sandwich,,yes,Subway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9618,49.0764542,-122.6707002,2019-09-23T20:15:08.000-07:00,fast_food,McDonald's,Q38076,,4061,en:McDonald's,,burger,200 Street,yes,McDonald's,,http://www.mcdonalds.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9621,49.0902235,-122.607215,2019-11-20T12:41:36.000-08:00,fast_food,Quiznos,Q1936229,,22259,en:Quiznos,,sandwich,48 Avenue,yes,Quiznos,,,,,,,,V3A 3N4,Langley,,,,,,,,,,,,,103,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9625,49.103395,-122.4903841,2019-09-25T20:03:29.000-07:00,cafe,Tim Hortons,Q175106,,26474,en:Tim Hortons,,coffee_shop,56 Avenue,yes,Tim Hortons,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,no,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9631,49.0439296,-122.2218819,2020-02-22T20:51:40.000-08:00,post_office,Sumas Mountain,Q1032001,,,en:Canada Post,Mo-Fr 08:00-20:00; Sa 09:00-16:00; Su 12:00-16:00,,,,Canada Post,Canada Post,https://www.canadapost.ca/cpotools/apps/fpo/personal/findPostOfficeDetailPrint?outletId=0000104036,,,,,+1-800-267-1177,V3G 1E0,,,,,,,yes,,outlet inside Shoppers Drug Mart,,,,,,,,,,,,,,,,,,104036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9634,49.198074,-122.812044,2020-01-04T19:30:59.000-08:00,fast_food,Subway,Q244457,,14806,en:Subway (restaurant),"Mo-Fr 07:00-04:00, Sa-Su 08:00-04:00",sandwich,108 Avenue,yes,Subway,,http://www.subway.com,,,,,+1-604-951-7809,,Surrey,,,yes,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9635,49.1995708,-122.8100913,2020-02-29T14:35:22.000-08:00,pharmacy,Shoppers Drug Mart,Q1820137,,14867,en:Shoppers Drug Mart,Mo-Fr 09:00-21:00; Sa 09:00-17:00; Su 10:00-17:00,,108 Avenue,,,,http://shoppersdrugmart.ca/,,,,,+1-604-584-8393,,,,,yes,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9636,49.1984073,-122.8130073,2019-05-29T03:38:31.000-07:00,fuel,Shell,Q154950,,14780,en:Royal Dutch Shell,24/7,,108 Avenue,,Shell,Shell,https://www.shell.ca/,,,,,+1-604-581-4114,,,,,yes,,,,,,,,,yes,,,,,,,,Q1360622,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,en:Shell Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9640,49.1931817,-122.8887327,2019-06-16T22:03:28.000-07:00,fuel,Chevron,Q319642,,10398,en:Chevron Corporation,,,Scott Road,,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9641,49.1928452,-122.8890116,2019-06-16T22:03:28.000-07:00,cafe,Tim Hortons,Q175106,,10390,en:Tim Hortons,24/7,coffee_shop,Scott Road,yes,Tim Hortons,,https://www.timhortons.com/,,,,,+1-604-582-2799,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9643,49.051319,-122.3272881,2020-03-29T23:51:13.000-07:00,post_office,Trethewey,Q1032001,,32390,en:Canada Post,Mo-Fr 08:00-20:30; Sa 11:00-16:00; Su 12:00-16:00,,South Fraser Way,,Canada Post,Canada Post,https://www.canadapost.ca/cpotools/apps/fpo/personal/findPostOfficeDetail?outletId=%20g61223c286983bc7b_0000103232,,,,,,V2T 2X0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9644,49.1776035,-122.6721562,2019-10-02T16:07:49.000-07:00,fast_food,Wendy's,Q550258,,19875,en:Wendy's,,burger,96 Avenue,yes,Wendy's,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9645,49.1776017,-122.6720141,2019-06-07T13:28:04.000-07:00,cafe,Tim Hortons,Q175106,,19875,en:Tim Hortons,,coffee_shop,96 Avenue,yes,Tim Hortons,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9647,49.2335962,-123.0351502,2019-05-27T03:58:25.000-07:00,bank,RBC,Q735261,Royal Bank of Canada,3318,en:Royal Bank of Canada,Mo-Th 08:00-19:00; Fr 08:00-18:00; Sa 09:00-16:00,,Kingsway,,RBC,,,,,,,+1-604-665-3888,V5R 5K7,Vancouver,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
